#CNTAS Song Mon Jul 21 16:32:13 2014 
#USER: Song 
#DATE: Mon Jul 21 16:32:13 2014 
#TITLE: FAT Test measurement 
#CMD: cscan(axis=sgU, amplitude=5, step=0.5, time=2)
#STEPS: sgU = 0.5  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   20.91       monho=   41.82          om=  332.25 
#ANGLES:        s2th=  -61.88         ath=   20.91      detang=   41.83 
#ANGLES:         sgU=    0.00         sgL=    3.42       mvfoc= 1166.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.36         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  749.09     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#      sgU        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
     -5.00      40709      13873     3986.0        2.0     108378      3.480      0.063
     -4.50      40857      14024     3864.0        2.0     108379      3.629      0.066
     -4.00      42615      14564     4035.0        2.0     108380      3.609      0.064
     -3.50      44806      15405     4065.0        2.0     108381      3.790      0.067
     -3.00      47614      16935     3934.0        2.0     108382      4.305      0.076
     -2.50      50128      17606     3912.0        2.0     108383      4.501      0.080
     -2.00      53117      18807     3982.0        2.0     108384      4.723      0.082
     -1.50      55615      19353     3878.0        2.0     108385      4.990      0.088
     -1.00      57466      19946     3898.0        2.0     108386      5.117      0.090
     -0.50      59469      20548     4084.0        2.0     108387      5.031      0.086
      0.00      60621      20930     3980.0        2.0     108388      5.259      0.091
      0.50      62011      21597     4000.0        2.0     108389      5.399      0.093
      1.00      61803      21700     4004.0      2.009     108390      5.420      0.093
      1.50      62771      22171     4090.0        2.0     108391      5.421      0.092
      2.00      61326      22022     4067.0        2.0     108392      5.415      0.092
      2.50      59103      21543     3896.0        2.0     108393      5.530      0.096
      3.00      56686      20703     3994.0        2.0     108394      5.184      0.090
      3.50      53281      19819     4069.0        2.0     108395      4.871      0.084
      4.00      47151      17872     3925.0        2.0     108396      4.553      0.080
      4.50      43474      16664     3962.0        2.0     108397      4.206      0.074
      5.00      37885      14550     3999.0        2.0     108398      3.638      0.065
