#CNTAS Song Sat Jul 19 21:32:54 2014 
#USER: Song 
#DATE: Sat Jul 19 21:32:54 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[2, 2, 0.1, 1.5], step=[0, 0, 0, 0.2], np=21, time=60)
#STEPS: EN = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=1.000 K1=1.000 L1=1.000
#PVEC2: H2=0.000 K2=0.000 L2=-2.000
#ANGLES:       monok=   17.44       monho=   34.88          om=  275.73 
#ANGLES:        s2th=  -97.60         ath=   20.34      detang=   40.69 
#ANGLES:         sgU=   -3.24         sgL=   -0.85       mvfoc=  500.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    1.12         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  996.27     detdist=  650.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.24       monho=    0.31          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME   ROICNT   SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 2.0000  2.0000  0.1000   1.50  75352.0    0.06      391   106877  17.44  34.88 281.82 -91.69  18.15  36.30  -0.85  -3.24
 2.0000  2.0000  0.1000   1.70  74307.0    0.06      208   106879  17.44  34.88 281.53 -91.99  18.25  36.50  -0.85  -3.24
 2.0000  2.0000  0.1000   1.90  74107.0    0.06       98   106881  17.44  34.88 281.23 -92.30  18.35  36.70  -0.85  -3.24
 2.0000  2.0000  0.1000   2.10  75046.0    0.06       59   106883  17.44  34.88 280.93 -92.61  18.45  36.91  -0.85  -3.24
 2.0000  2.0000  0.1000   2.30  74812.0    0.06       31   106885  17.44  34.88 280.63 -92.93  18.56  37.12  -0.85  -3.24
 2.0000  2.0000  0.1000   2.50  75567.0    0.06       36   106887  17.44  34.88 280.33 -93.25  18.67  37.34  -0.85  -3.24
 2.0000  2.0000  0.1000   2.70  75335.0    0.06       33   106889  17.44  34.88 280.02 -93.57  18.78  37.56  -0.85  -3.24
 2.0000  2.0000  0.1000   2.90  75328.0    0.06       35   106891  17.44  34.88 279.72 -93.89  18.89  37.79  -0.85  -3.24
 2.0000  2.0000  0.1000   3.10  74790.0    0.06       42   106893  17.44  34.88 279.41 -94.23  19.01  38.01  -0.85  -3.24
 2.0000  2.0000  0.1000   3.30  74888.0    0.06       33   106895  17.44  34.88 279.10 -94.56  19.12  38.25  -0.85  -3.24
 2.0000  2.0000  0.1000   3.50  75150.0    0.06       33   106897  17.44  34.88 278.79 -94.90  19.24  38.48  -0.85  -3.24
 2.0000  2.0000  0.1000   3.70  75360.0    0.06       28   106899  17.44  34.88 278.48 -95.25  19.36  38.72  -0.85  -3.24
 2.0000  2.0000  0.1000   3.90  75499.0    0.06       21   106901  17.44  34.88 278.16 -95.59  19.48  38.97  -0.85  -3.24
 2.0000  2.0000  0.1000   4.10  74764.0    0.06       23   106903  17.44  34.88 277.85 -95.95  19.61  39.22  -0.85  -3.24
 2.0000  2.0000  0.1000   4.30  74434.0    0.06       16   106905  17.44  34.88 277.52 -96.31  19.74  39.48  -0.85  -3.24
 2.0000  2.0000  0.1000   4.50  75306.0    0.06       25   106907  17.44  34.88 277.20 -96.67  19.87  39.74  -0.85  -3.24
 2.0000  2.0000  0.1000   4.70  75090.0    0.06       25   106909  17.44  34.88 276.88 -97.04  20.00  40.00  -0.85  -3.24
