#CNTAS Song Thu Oct 23 20:07:12 2014 
#USER: Song 
#DATE: Thu Oct 23 20:07:12 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[0, 0, 2.05, 0], step=[0, 0, 0, 0.2], np=40, time=30)
#STEPS: EN = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  4.041 B=  4.041 C=  4.041
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   22.50       monho=   45.00          om=  285.24 
#ANGLES:        s2th=  -81.25         ath=   22.50      detang=   45.00 
#ANGLES:         sgU=    0.11         sgL=    0.53       mvfoc= 1090.00 
#ANGLES:        mtrX=   -0.00        mtrY=   -0.99         mgU=    0.10 
#ANGLES:         mgL=    0.20         s1X=   16.00         s1Y=   16.00 
#ANGLES:         s1L=   60.00         s1U=   60.00         s2X=    8.83 
#ANGLES:         s2Y=    7.88         s2L=   26.00         s2U=   28.03 
#ANGLES:        strX=   -0.01        strY=    0.00       antrX=   -0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2200.00      sadist=  926.60     detdist=  670.00 
#ANGLES:     anShRot=   14.50    anShLift=  150.00 
#ZEROS:       monok=   -0.37       monho=    0.28          om=    0.00 
#ZEROS:        s2th=    0.07         ath=   -0.66      detang=   -0.40 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 0.0000  0.0000  2.0500   0.00 159949.0   30.00       77       25   115626  22.50  45.00 285.24 -81.25  22.50  45.00   0.53   0.11
 0.0000  0.0000  2.0500   0.20 160582.0   30.00       97       57   115628  22.50  45.00 284.77 -81.65  22.69  45.39   0.53   0.11
 0.0000  0.0000  2.0500   0.40 161498.0   30.00      108       68   115630  22.50  45.00 284.30 -82.06  22.89  45.78   0.53   0.11
 0.0000  0.0000  2.0500   0.60 160394.0   30.00       90       42   115632  22.50  45.00 283.83 -82.46  23.10  46.19   0.53   0.11
 0.0000  0.0000  2.0500   0.80 159251.0   30.00       47       23   115634  22.50  45.00 283.35 -82.88  23.30  46.61   0.53   0.11
 0.0000  0.0000  2.0500   1.00 160566.0   30.00       40       17   115636  22.50  45.00 282.87 -83.31  23.52  47.04   0.53   0.11
 0.0000  0.0000  2.0500   1.20 160505.0   30.00       37        9   115638  22.50  45.00 282.38 -83.73  23.74  47.49   0.53   0.11
 0.0000  0.0000  2.0500   1.40 161610.0   30.00       45       18   115640  22.50  45.00 281.89 -84.17  23.97  47.94   0.53   0.11
 0.0000  0.0000  2.0500   1.60 160718.0   30.00       38       16   115642  22.50  45.00 281.39 -84.61  24.20  48.41   0.53   0.11
 0.0000  0.0000  2.0500   1.80 160114.0   30.00       49       20   115644  22.50  45.00 280.90 -85.06  24.45  48.89   0.53   0.11
 0.0000  0.0000  2.0500   2.00 160445.0   30.00       52       21   115646  22.50  45.00 280.39 -85.52  24.70  49.39   0.53   0.11
 0.0000  0.0000  2.0500   2.20 160362.0   30.00       44       18   115648  22.50  45.00 279.88 -85.99  24.95  49.91   0.53   0.11
 0.0000  0.0000  2.0500   2.40 159255.0   30.00       45       15   115650  22.50  45.00 279.37 -86.46  25.22  50.44   0.53   0.11
 0.0000  0.0000  2.0500   2.60 160822.0   30.00       42       18   115652  22.50  45.00 278.86 -86.95  25.49  50.98   0.53   0.11
 0.0000  0.0000  2.0500   2.80 160988.0   30.00       25        7   115654  22.50  45.00 278.33 -87.44  25.78  53.05   0.53   0.11
 0.0000  0.0000  2.0500   3.00 160484.0   30.00       30       13   115656  22.50  45.00 277.81 -87.94  26.07  52.14   0.53   0.11
