#CNTAS Song Thu Sep 18 18:14:35 2014 
#USER: Song 
#DATE: Thu Sep 18 18:14:35 2014 
#TITLE: FAT Test measurement 
#CMD: schkl(start=[0, 0, 2, -4], step=[0, 0, 2, 0.2], np=80, time=60)
#STEPS: L = 2.0  EN = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   5.16 B=   5.16 C=   5.16
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=0.000 K1=0.000 L1=2.000
#PVEC2: H2=1.000 K2=1.000 L2=1.000
#ANGLES:       monok=   20.91       monho=   41.83          om=  291.03 
#ANGLES:        s2th=  -51.17         ath=   18.39      detang=   36.78 
#ANGLES:         sgU=   -1.00         sgL=   -1.00       mvfoc= 1109.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=   -0.02         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1215.94 
#ANGLES:     anShRot=   13.50    anShLift=  150.00 
#ZEROS:       monok=   -0.32       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.38 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#  H       K       L       EN      MON     TIME     CNT     ROICNT  SEQ.NUM   A1     A2     A3     A4     A5     A6     SGL    SGU
 0.0000  0.0000  2.0000  -4.00      0.0   60.00      644      194   109747  20.91  41.83 291.03 -51.17  18.39  36.78  -1.00  -1.00
 0.0000  0.0000  4.0000  -3.80      0.0   60.00      662      210   109749  20.91  41.83 250.36 -51.17  18.39  36.78  -1.00  -1.00
 0.0000  0.0000  6.0000  -3.60      0.0   60.00      689      223   109751  20.91  41.83 250.36 -51.17  18.60  37.20  -1.00  -1.00
 0.0000  0.0000  8.0000  -3.40      0.0   60.00      675      229   109753  20.91  41.83 250.36 -51.17  18.71  37.42  -1.00  -1.00
 0.0000  0.0000 10.0000  -3.20      0.0   60.00      708      234   109755  20.91  41.83 250.36 -51.17  18.82  37.64  -1.00  -1.00
 0.0000  0.0000 12.0000  -3.00      0.0   60.00      682      226   109757  20.91  41.83 250.36 -51.17  18.94  37.87  -1.00  -1.00
 0.0000  0.0000 14.0000  -2.80      0.0   60.01      618      205   109759  20.91  41.83 250.36 -51.17  19.05  38.10  -1.00  -1.00
 0.0000  0.0000 16.0000  -2.60      0.0   60.00      654      223   109761  20.91  41.83 250.36 -51.17  19.16  38.33  -1.00  -1.00
 0.0000  0.0000 18.0000  -2.40      0.0   60.00      638      218   109763  20.91  41.83 250.36 -51.17  19.28  38.57  -1.00  -1.00
 0.0000  0.0000 20.0000  -2.20      0.0   60.00      629      206   109765  20.91  41.83 250.36 -51.17  19.41  38.81  -1.00  -1.00
 0.0000  0.0000 22.0000  -2.00      0.0   60.00      635      187   109767  20.91  41.83 250.36 -51.17  19.53  39.06  -1.00  -1.00
 0.0000  0.0000 24.0000  -1.80      0.0   60.00      674      202   109769  20.91  41.83 250.36 -51.17  19.66  39.31  -1.00  -1.00
 0.0000  0.0000 26.0000  -1.60      0.0   60.00      640      208   109771  20.91  41.83 250.36 -51.17  19.78  39.57  -1.00  -1.00
 0.0000  0.0000 28.0000  -1.40      0.0   60.00      680      237   109773  20.91  41.83 250.36 -51.17  19.91  39.83  -1.00  -1.00
 0.0000  0.0000 30.0000  -1.20      0.0   60.00      679      221   109775  20.91  41.83 250.36 -51.17  20.05  40.10  -1.00  -1.00
 0.0000  0.0000 32.0000  -1.00      0.0   60.00      662      225   109777  20.91  41.83 250.36 -51.17  20.19  40.37  -1.00  -1.00
 0.0000  0.0000 34.0000  -0.80      0.0   60.00      683      212   109779  20.91  41.83 250.36 -51.17  20.33  40.65  -1.00  -1.00
 0.0000  0.0000 36.0000  -0.60      0.0   60.00      660      202   109781  20.91  41.83 250.36 -51.17  20.47  40.94  -1.00  -1.00
 0.0000  0.0000 38.0000  -0.40      0.0   60.00      661      216   109783  20.91  41.83 250.36 -51.17  20.61  41.23  -1.00  -1.00
 0.0000  0.0000 40.0000  -0.20      0.0   60.00      655      212   109785  20.91  41.83 250.36 -51.17  20.76  41.53  -1.00  -1.00
 0.0000  0.0000 42.0000   0.00      0.0   60.00      706      241   109787  20.91  41.83 250.36 -51.17  20.91  41.83  -1.00  -1.00
 0.0000  0.0000 44.0000   0.20      0.0   60.00      644      196   109789  20.91  41.83 250.36 -51.17  21.07  42.14  -1.00  -1.00
 0.0000  0.0000 46.0000   0.40      0.0   60.00      698      215   109791  20.91  41.83 250.36 -51.17  21.23  42.46  -1.00  -1.00
 0.0000  0.0000 48.0000   0.60      0.0   60.00      658      215   109793  20.91  41.83 250.36 -51.17  21.39  42.78  -1.00  -1.00
 0.0000  0.0000 50.0000   0.80      0.0   60.00      650      193   109795  20.91  41.83 250.36 -51.17  21.56  43.11  -1.00  -1.00
 0.0000  0.0000 52.0000   1.00      0.0   60.00      686      252   109797  20.91  41.83 250.36 -51.17  21.73  43.45  -1.00  -1.00
 0.0000  0.0000 54.0000   1.20      0.0   60.00      708      226   109799  20.91  41.83 250.36 -51.17  21.90  43.80  -1.00  -1.00
