#CNTAS Song Fri Jul 18 15:45:54 2014 
#USER: Song 
#DATE: Fri Jul 18 15:45:54 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=Ef, start=7, step=0.025, end=8, time=30)
#STEPS: Ef = 0.025  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=  3.864 B=  3.864 C=  11.73
#CELL: alpha=90.00 beta=90.00 gamma=90.00
#PVEC1: H1=2.000 K1=0.000 L1=0.000
#PVEC2: H2=0.000 K2=0.000 L2=4.000
#ANGLES:       monok=   29.47       monho=   58.95          om=    2.00 
#ANGLES:        s2th= -101.02         ath=   30.64      detang=   61.16 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc=  800.00 
#ANGLES:        mtrX=    0.00        mtrY=   -1.00         mgU=    0.10 
#ANGLES:         mgL=    0.70         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    9.46 
#ANGLES:         s2Y=    8.49         s2L=   25.00         s2U=   25.00 
#ANGLES:        strX=    0.01        strY=    0.00       antrX=    0.00 
#ANGLES:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2490.10      sadist=  998.41     detdist=  650.00 
#ANGLES:     anShRot=   15.50    anShLift=  150.00 
#ZEROS:       monok=   -0.38       monho=   -0.11          om=    0.00 
#ZEROS:        s2th=    0.01         ath=   -0.53      detang=   -0.07 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#       Ef        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
      7.00         48         15   178685.0       30.0     103329      0.000      0.000      29.47      58.95       2.00    -101.02      30.64      61.28       0.00       0.00
      7.02         67         15   178107.0     30.008     103330      0.000      0.000      29.47      58.95       2.00    -101.02      30.58      61.16       0.00       0.00
      7.05         78         28   178391.0       30.0     103331      0.000      0.000      29.47      58.95       2.00    -101.02      30.52      61.04       0.00       0.00
      7.07         66         20   179410.0       30.0     103332      0.000      0.000      29.47      58.95       2.00    -101.02      30.46      60.92       0.00       0.00
      7.10         57         19   180514.0       30.0     103334      0.000      0.000      29.47      58.95       2.00    -101.02      30.40      60.80       0.00       0.00
      7.10         63         20   179124.0       30.0     103336      0.000      0.000      29.47      58.95       2.00    -101.02      30.40      60.68       0.00       0.00
      7.15         77         16   179171.0       30.0     103337      0.000      0.000      29.47      58.95       2.00    -101.02      30.28      60.56       0.00       0.00
      7.17         70         19   180392.0       30.0     103338      0.000      0.000      29.47      58.95       2.00    -101.02      30.23      60.45       0.00       0.00
      7.20         69         18   180893.0       30.0     103340      0.000      0.000      29.47      58.95       2.00    -101.02      30.16      60.33       0.00       0.00
      7.23         64         22   180427.0       30.0     103341      0.000      0.000      29.47      58.95       2.00    -101.02      30.11      60.22       0.00       0.00
      7.25         75         18   180660.0       30.0     103342      0.000      0.000      29.47      58.95       2.00    -101.02      30.05      60.10       0.00       0.00
      7.27         79         32   180944.0       30.0     103344      0.000      0.000      29.47      58.95       2.00    -101.02      29.99      59.99       0.00       0.00
      7.30         70         29   180984.0       30.0     103345      0.000      0.000      29.47      58.95       2.00    -101.02      29.94      59.88       0.00       0.00
      7.32         61         17   182102.0       30.0     103346      0.000      0.000      29.47      58.95       2.00    -101.02      29.88      59.76       0.00       0.00
      7.35         84         30   180537.0       30.0     103348      0.000      0.000      29.47      58.95       2.00    -101.02      29.82      59.65       0.00       0.00
      7.37         93         39   180429.0       30.0     103349      0.000      0.000      29.47      58.95       2.00    -101.02      29.77      59.54       0.00       0.00
      7.40         96         48   180559.0       30.0     103350      0.000      0.000      29.47      58.95       2.00    -101.02      29.71      59.43       0.00       0.00
      7.42        119         56   180220.0       30.0     103351      0.000      0.000      29.47      58.95       2.00    -101.02      29.66      59.32       0.00       0.00
